IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.16.179.107,4,4,0.00,186.73,23.67,SJC,443
104.17.57.24,4,4,0.00,188.67,23.49,SJC,443
104.17.143.43,4,4,0.00,182.28,23.48,SJC,443
104.16.103.60,4,4,0.00,185.99,23.39,SJC,443
172.64.81.141,4,4,0.00,159.92,23.35,SJC,443
104.16.235.136,4,4,0.00,184.45,23.33,SJC,443
104.16.244.1,4,4,0.00,177.08,23.16,SJC,443
172.66.43.158,4,4,0.00,156.79,23.14,SJC,443
104.16.45.244,4,4,0.00,172.07,23.12,SJC,443
172.67.89.171,4,4,0.00,190.17,22.73,FRA,443
104.19.253.7,4,4,0.00,181.93,22.73,LAX,443
104.21.37.253,4,4,0.00,187.21,22.44,AMS,443
104.16.137.168,4,4,0.00,175.05,22.23,SJC,443
104.16.163.215,4,4,0.00,176.58,22.22,SJC,443
104.17.1.112,4,4,0.00,162.85,22.21,SJC,443
104.16.181.97,4,4,0.00,184.74,21.97,SJC,443
104.17.142.140,4,4,0.00,179.72,21.77,SJC,443
104.17.174.0,4,4,0.00,178.83,21.70,SJC,443
162.159.244.57,4,4,0.00,189.12,21.52,LAX,443
104.27.121.211,4,4,0.00,188.56,21.41,FRA,443
104.16.199.40,4,4,0.00,175.89,21.21,SJC,443
104.16.122.57,4,4,0.00,164.98,21.20,LAX,443
172.64.91.123,4,4,0.00,152.83,21.00,SJC,443
104.16.20.96,4,4,0.00,179.82,20.83,SJC,443
104.17.80.233,4,4,0.00,176.71,20.69,SJC,443
104.24.69.210,4,4,0.00,191.21,20.67,FRA,443
104.16.242.210,4,4,0.00,171.30,20.58,SJC,443
104.27.31.105,4,4,0.00,192.09,20.48,FRA,443
104.16.81.4,4,4,0.00,168.47,20.35,SJC,443
104.16.127.85,4,4,0.00,188.35,19.92,LAX,443
104.17.130.80,4,4,0.00,180.93,19.86,SJC,443
104.21.65.43,4,4,0.00,188.32,19.75,AMS,443
104.16.13.157,4,4,0.00,170.59,19.58,SJC,443
104.17.190.216,4,4,0.00,184.10,18.93,SJC,443
104.16.196.229,4,4,0.00,189.19,18.74,SJC,443
104.21.235.226,4,4,0.00,164.01,18.43,LAX,443
104.16.249.25,4,4,0.00,188.65,18.40,SJC,443
104.21.225.167,4,4,0.00,177.74,18.34,LAX,443
172.66.165.221,4,4,0.00,188.23,18.32,FRA,443
